-0.302142 0.629646	-0.468646 -0.437506	0.751303 0.319782	0.384374 0.752014	0.603867 0.790833	0.290540 -0.494219	0.653237 0.502880	0.387346 -0.803606	0.639781 0.500007	0.692389 0.500295	0.204144 -0.447248	0.443633 0.882135	0.368019 0.799485	0.560744 0.607400	0.339973 0.029546	-0.102781 -0.829903	-0.864264 0.130356	-0.810361 0.809437	-0.367139 0.791816	-0.625853 0.309730	
-0.566638 -2.526460	-6.935642 -0.626216	1.327826 -5.812120	-0.787482 -1.831456	3.286788 0.866472	0.782141 -3.021263	-5.034182 4.426946	-1.637315 0.252919	2.564716 2.952958	1.668806 -4.240202	1.198265 1.090782	-3.702859 7.799168	-1.175273 1.122819	3.405442 0.616393	-1.330805 2.952594	4.099048 5.600709	3.896063 5.228128	0.078995 -1.058456	1.546841 -0.235770	-0.973513 6.511362	
-1.223590 -2.561657	-6.830987 -0.484326	0.618333 -6.664072	-1.330417 -1.768156	3.923275 1.584533	0.064822 -2.924342	-5.160812 4.077318	-1.145763 -0.347139	2.106803 2.731156	0.721950 -3.505461	0.247631 0.807770	-4.236753 8.279373	-1.913125 1.679706	3.245810 -0.376564	-1.597851 3.272852	4.907718 5.528423	4.033999 4.992774	-0.412876 -1.158990	0.604698 -0.186439	-0.526702 5.979389	
-1.266215 -2.859229	-7.333798 -0.821194	1.185984 -6.193844	-2.078600 -1.368059	3.500016 0.992581	-0.890293 -1.972830	-6.006723 3.638306	-1.575955 -1.189689	1.764224 2.078480	0.152243 -3.081141	-0.336014 1.603152	-5.179689 8.953229	-1.687902 2.458781	4.103340 -1.359750	-1.642091 3.228760	4.809230 5.697037	4.861839 4.140510	0.235197 -1.327181	0.227777 0.580011	0.140417 5.701339	
-1.194448 -3.332493	-7.707910 -0.163873	2.142685 -5.502903	-2.459445 -0.406004	4.475808 0.230935	-1.060770 -2.900785	-5.538766 3.126855	-2.150203 -1.665958	1.542440 1.916506	0.273965 -2.680643	-1.318868 1.625353	-5.162170 8.291925	-1.720738 2.970601	3.172126 -1.872635	-1.451805 3.612340	5.318195 5.799497	5.177655 4.817251	0.707584 -1.996938	-0.478538 1.386796	-0.515374 5.101189	
-1.693804 -3.613008	-7.671169 0.332613	2.451541 -5.271541	-3.034545 0.067001	4.842843 1.107445	-0.292862 -3.556323	-5.677244 2.908992	-1.997475 -2.445686	2.338849 2.412664	0.025306 -3.330781	-1.519957 1.301307	-4.511090 7.729444	-0.919067 3.125486	3.279880 -1.092495	-0.903427 3.658185	4.973392 6.128871	5.875455 4.307828	0.805616 -1.341465	0.003360 0.715871	0.157791 5.231643	
-2.325943 -3.571492	-8.618248 0.985965	1.654100 -5.039626	-2.542491 0.705426	5.686600 1.936624	-0.519150 -4.447571	-4.913196 3.587269	-2.875946 -2.111231	2.117928 2.612559	-0.873121 -3.366451	-2.394696 1.955923	-5.331445 7.398597	-1.222739 3.337253	2.955441 -0.876637	-1.193925 2.673729	5.710147 5.300892	6.203520 4.274889	1.209952 -1.048584	-0.364067 0.739653	-0.744498 4.765389	
-3.201552 -2.635203	-7.952394 0.560317	2.078263 -5.979943	-2.216716 0.044207	5.195513 1.276749	-0.204626 -5.213459	-4.402945 4.222086	-1.973199 -2.556214	2.763866 1.644499	-1.313540 -3.006714	-1.842670 1.404372	-4.605437 7.779953	-1.496001 3.301363	2.606261 -1.006759	-0.439191 1.735175	4.733419 5.864267	6.771693 3.716634	0.514326 -1.069895	-1.008803 0.998657	-0.703624 3.922934	
-3.266617 -2.747344	-7.110562 0.159769	1.597982 -6.778129	-1.285718 -0.152503	4.455430 0.590294	0.452942 -4.521553	-3.663254 3.399045	-1.477629 -2.562695	3.752710 0.811968	-0.616507 -2.747055	-1.021236 1.973283	-4.342931 7.365469	-1.090238 3.376641	3.434318 -1.518171	-1.296527 2.277897	4.610367 6.305560	7.735496 3.154091	0.686710 -1.851347	-0.815715 0.933845	-0.769199 3.110986	
-3.324621 -2.265961	-6.938189 0.164577	0.955517 -5.843567	-1.342698 -1.107457	5.445393 0.405142	0.072791 -5.442948	-3.484439 2.904799	-2.431631 -3.296604	3.730840 0.015232	-1.094715 -2.024173	-0.638359 1.961618	-3.618096 6.860987	-1.953545 2.505688	3.047606 -0.741265	-2.248818 2.708953	5.585602 5.979938	7.884565 2.291217	-0.017772 -2.592514	-0.244680 0.194473	-0.198921 3.104814	
-2.993118 -3.000555	-7.248235 -0.063803	0.613001 -4.853693	-2.181476 -1.828671	4.652341 0.896947	0.577451 -5.246456	-4.003145 2.400956	-3.206900 -2.708492	4.400359 0.323764	-0.310016 -2.411851	0.343586 1.548399	-3.034379 6.856499	-2.718205 2.975700	2.658345 -0.835688	-1.900430 2.383416	4.725576 5.366553	8.638325 1.805106	0.071634 -3.499693	0.224893 -0.584523	-0.960965 3.549879	
-3.396459 -3.825576	-6.533158 0.481416	1.034114 -4.443631	-2.962579 -2.640941	4.003295 1.462829	0.429730 -5.169867	-3.104932 2.645147	-3.697977 -2.779351	3.419461 -0.601730	0.013863 -3.101019	-0.250708 1.001297	-3.384150 7.406461	-3.098185 2.340348	3.551868 -0.630522	-1.104351 3.074361	4.641972 5.287066	8.333899 2.655351	1.014568 -3.339894	0.274242 -1.310631	-1.759059 3.735840	
-2.630388 -3.273704	-5.966838 0.382672	0.747100 -5.388472	-3.429647 -3.281435	4.053261 2.188313	-0.005792 -5.937289	-2.974690 2.949002	-3.399314 -2.651308	4.270200 0.030497	0.673797 -3.785048	-0.384299 1.869334	-4.366314 7.663251	-2.174836 2.613403	4.054143 -0.877948	-1.729303 3.653312	5.280192 6.040922	8.333399 2.237612	1.937181 -4.324542	0.110891 -1.175989	-2.495517 3.561019	
-2.901589 -3.257667	-6.373709 0.409640	0.171644 -5.511237	-2.807885 -3.583614	5.006722 2.779192	-0.349117 -5.483717	-2.106858 3.798281	-4.105993 -2.601999	4.686310 0.511178	-0.320456 -4.306712	-0.256246 2.462177	-5.254671 8.406421	-2.217650 3.158167	4.413213 -1.712423	-1.747919 3.043654	5.583587 5.074827	7.410356 1.325462	1.223289 -4.817532	1.098442 -1.320314	-2.520355 4.409151	
-2.945103 -3.649909	-5.611254 0.339950	0.906360 -5.478480	-3.014900 -4.339183	5.639954 3.499956	-0.569379 -5.060664	-2.799646 2.950914	-4.510478 -3.219909	4.719980 0.508659	0.453820 -3.407522	-0.454448 2.446085	-4.587677 8.935551	-2.098836 3.234506	5.034780 -2.149930	-0.843446 3.412963	5.816035 4.591232	8.062918 0.985803	1.537034 -4.112009	0.991522 -2.185333	-2.115134 4.862916	
-2.366627 -3.041741	-5.939064 -0.591764	0.349262 -5.847393	-3.634056 -4.887478	6.049743 3.674349	-0.374986 -5.527128	-2.820733 2.290417	-4.875201 -3.997851	4.956375 0.422911	0.750616 -4.374300	-0.621384 1.596491	-4.552359 8.007167	-2.081090 2.624581	5.768447 -2.793357	-1.647392 3.882975	6.580159 4.240819	7.336370 0.635927	0.648199 -3.122487	1.977291 -1.507190	-2.643264 4.981603	
-3.022579 -2.748018	-5.579739 0.330442	-0.424953 -5.909837	-4.020566 -5.148052	6.047910 3.480592	0.551828 -6.199351	-2.005808 3.143475	-5.518635 -3.627653	5.814553 -0.300853	-0.233880 -3.905599	-0.290033 1.623925	-3.773073 7.845202	-2.050543 2.395352	6.028496 -2.833402	-2.021593 4.561213	6.432762 4.992087	7.908654 1.371324	1.491064 -2.877651	1.344836 -1.126693	-2.854502 4.200173	
-2.744839 -2.240076	-4.923371 0.352655	0.368040 -6.124871	-4.282581 -6.085644	5.730504 3.256415	-0.447184 -6.287838	-1.893891 3.701530	-6.268110 -3.467913	5.087803 0.037034	0.683237 -3.501416	0.124332 2.205541	-4.569041 7.563121	-1.467171 1.874741	5.570152 -2.473812	-2.866805 3.585805	5.940482 5.157196	8.812826 0.637555	1.312156 -2.516197	0.818968 -0.284435	-3.735735 3.310360	
-3.700392 -1.671304	-4.936423 0.870797	0.213589 -6.179163	-3.579948 -5.908707	5.881213 3.632342	-1.009318 -5.544804	-1.888872 3.058871	-6.932970 -2.829694	4.470514 -0.478111	0.036681 -2.968073	-0.561911 1.730173	-5.384188 8.508262	-1.981589 2.312962	6.346526 -2.959018	-3.560612 3.078883	5.833401 4.808387	8.299801 -0.263578	1.263928 -2.859409	1.504136 -0.988595	-3.448194 3.396582	
-3.838570 -1.037479	-4.690523 1.790457	0.182332 -6.143334	-3.577704 -5.329566	5.383774 4.019004	-2.000377 -4.945285	-1.491276 2.918786	-6.394386 -2.377250	4.489297 -0.365379	-0.780556 -2.336938	-1.054864 1.914228	-4.515979 7.729847	-2.558172 2.148372	6.818127 -2.295138	-4.395066 3.400579	5.515793 4.118617	8.973726 0.585902	0.884521 -3.187885	2.123560 -0.304774	-3.971429 3.339874	
